usgs_id,gage_name,latitude,longitude,nwm_feature_id,geoglows_river_id,verification_status
USGS-02378780,"D'OLIVE CREEK NEAR BRIDGEHEAD, AL",30.65206944,-87.8896472,,,Unverified
USGS-0357586650,"FAGAN CREEK AT ADAMS STREET AT HUNTSVILLE, AL.",34.7226208,-86.5749828,,,Unverified
USGS-0357587728,"DALLAS BRANCH AT COLEMAN ST IN HUNTSVILLE, AL",34.74567586,-86.5741495,,,Unverified
USGS-09470700,"BANNING CREEK NEAR BISBEE, AZ",31.50345,-110.0056694,,,Unverified
USGS-09470750,"RAMSEY CANYON NEAR SIERRA VISTA, AZ",31.44666667,-110.3058333,,,Unverified
USGS-09471310,"HUACHUCA CANYON NEAR FORT HUACHUCA, AZ",31.51805556,-110.3872222,,,Unverified
USGS-09475500,"FLORENCE-CASA GRANDE CANAL, NEAR FLORENCE, AZ.",33.09440556,-111.26015,,,Unverified
USGS-09489082,"NORTH FORK THOMAS CREEK NEAR ALPINE, AZ",33.67502778,-109.2701111,,,Unverified
USGS-09498503,"SOUTH FORK PARKER CREEK NEAR ROOSEVELT, AZ",33.79694444,-110.9598111,,,Unverified
USGS-09507580,"EAST VERDE R DIV FROM EAST CLEAR CR NR PINE, AZ",34.41780739,-111.2637469,,,Unverified
USGS-09522600,"NORTH GILA MAIN CANAL NEAR YUMA, AZ",32.80296389,-114.4953222,,,Unverified
USGS-09522650,"NORTH GILA MAIN CANAL NO. 2 NEAR YUMA, AZ",32.75266667,-114.4939472,,,Unverified
USGS-09522660,"GILA MONSTER FARMS TURNOUT NO. 1 NEAR YUMA, AZ",32.74586944,-114.4787944,,,Unverified
USGS-09522680,"GILA MONSTER FARMS TURNOUT NO. 2 NEAR YUMA, AZ",32.74388889,-114.4616667,,,Unverified
USGS-09522850,"GILA GRAVITY CANAL AT YUMA-MESA PUMPING PLANT, AZ",32.68175,-114.4703639,,,Unverified
USGS-09522860,CITY OF YUMA DIVERSION AT AVENUE 9E PUMPING PLANT,32.67888889,-114.478611,,,Unverified
USGS-09522880,"MCAS DIVERSION OF B CANAL NEAR YUMA, AZ",32.64888889,-114.5822222,,,Unverified
USGS-09522900,"UNIT B CANAL NEAR YUMA, AZ",32.6180361,-114.6304306,,,Unverified
USGS-09528200,COCOPAH DIVERSION FROM WEST MAIN CANAL NR SOMERTON,32.61833333,-114.7616667,,,Unverified
USGS-072632971,"Yount Creek near Martindale, AR",34.8897222,-92.6466667,,,Unverified
USGS-072632982,"Reece Creek at Little Italy, AR",34.93,-92.5930556,,,Unverified
USGS-072638805,"Fish Lake Ditch near Altheimer, AR",34.26116389,-91.6990833,,,Unverified
USGS-07358253,"Whittington Cr at Tunnel Ent at Hot Springs, AR",34.51716667,-93.0575,,,Unverified
USGS-07358257,"Hot Sprngs Cr US of T.E. at Glade St at Hot Sp.,AR",34.5236111,-93.0544444,,,Unverified
USGS-07362500,"Moro Creek near Fordyce, AR",33.7922222,-92.3333333,,,Unverified
USGS-09429155,"PVID F-CANAL SPILL NEAR BLYTHE, CA",33.5748861,-114.546811,,,Unverified
USGS-09429180,"PVID D23 SPILL NEAR BLYTHE, CA",33.4918,-114.603611,,,Unverified
USGS-09429200,"PVID C CANAL SPILL NEAR BLYTHE, CA",33.42833056,-114.673336,,,Unverified
USGS-09523400,"TITSINK CANAL NEAR YUMA, AZ",32.82363333,-114.5431167,,,Unverified
USGS-09524000,"YUMA MAIN CANAL AT SIPHON DROP P.P. NR YUMA, AZ",32.7762361,-114.6354083,,,Unverified
