usgs_id,gage_name,latitude,longitude,nwm_feature_id,geoglows_river_id,verification_status
USGS-02339495,OSELIGEE CREEK NEAR LANETT AL,32.9015159,-85.1963308,3296804,750182109,Unverified
USGS-02342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",32.31681467,-85.014931,3435970,750241324,Unverified
USGS-02342937,"SOUTH FORK COWIKEE CREEK NR HOWE, AL",32.0167861,-85.2138,3437910,750214100,Unverified
USGS-023432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",31.62219444,-85.0591667,,750229503,Unverified
USGS-02361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",31.3429492,-85.6104912,2188031,750237798,Unverified
USGS-02361500,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,31.15934229,-85.7843789,2189757,750224187,Unverified
USGS-02362240,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.",31.27239318,-85.9582737,2188549,750171496,Unverified
USGS-02363000,PEA RIVER NEAR ARITON AL,31.59488716,-85.7829975,2210130,750244896,Unverified
USGS-02364500,PEA RIVER NEAR SAMSON AL,31.11267588,-86.0993868,2214110,750221228,Unverified
USGS-02369800,BLACKWATER RIVER NEAR BRADLEY AL,31.02767985,-86.7099567,789206,750159071,Unverified
USGS-02371500,CONECUH RIVER AT BRANTLEY AL,31.57349458,-86.2516226,2377281,750249040,Unverified
USGS-02372250,PATSALIGA CREEK NEAR BRANTLEY AL,31.59627177,-86.40551809,2323396,750237792,Unverified
USGS-02372422,"CONECUH RIVER BEL PT A DAM NR RIVER FALLS, AL.",31.3612799,-86.5196826,2378929,750249046,Unverified
USGS-02372430,"CONECUH RIVER AT RIVER FALLS, ALABAMA",31.34822474,-86.5294047,2378189,750249046,Unverified
USGS-02373000,SEPULGA RIVER NEAR MCKENZIE AL,31.4537758,-86.7869139,2402121,750238386,Unverified
USGS-02374250,"CONECUH RIVER AT STATE HWY 41 NEAR BREWTON, AL.",31.06715578,-87.0616644,2413994,750250238,Unverified
USGS-02374500,MURDER CREEK NEAR EVERGREEN AL,31.41850006,-86.9866403,933140017,750184516,Unverified
USGS-02374700,"MURDER CREEK AT STATE HWY 41 AT BREWTON, AL.",31.10101137,-87.06885829,2413350,750213532,Unverified
USGS-02374745,"BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON, AL.",31.1298991,-87.0871928,2413254,750196364,Unverified
USGS-02374950,BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSSROAD,31.12962115,-87.3705353,445834,750201099,Unverified
USGS-02375000,BIG ESCAMBIA CREEK AT FLOMATON AL,31.01076847,-87.2627814,446386,750183343,Unverified
USGS-02377570,"STYX RIVER NEAR ELSANOR, AL.",30.6057484,-87.5472057,2171465,750187498,Unverified
USGS-02378170,"WOLF CREEK BELOW FOLEY, ALA",30.38828617,-87.6527928,10854075,,Unverified
USGS-02378185,"INTRACOASTAL WATERWAY - GULF SHORES, AL.",30.27964626,-87.6866524,10854443,,Unverified
