site_no,station_nm,dec_lat_va,dec_long_va,alt_va,parm_cd
02339495,OSELIGEE CREEK NEAR LANETT AL,32.9015159,-85.1963308,,00060
02342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",32.31681467,-85.014931,201.63,00060
02342937,"SOUTH FORK COWIKEE CREEK NR HOWE, AL",32.0167861,-85.2138,196,00060
023432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",31.62219444,-85.0591667,0.01,00060
02361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",31.3429492,-85.6104912, 138.56,00060
02361500,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,31.15934229,-85.7843789,,00060
02362240,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.",31.27239318,-85.9582737,199.52,00060
02363000,PEA RIVER NEAR ARITON AL,31.59488716,-85.7829975,246.59,00060
02364500,PEA RIVER NEAR SAMSON AL,31.11267588,-86.0993868,97.56,00060
02369800,BLACKWATER RIVER NEAR BRADLEY AL,31.02767985,-86.7099567, 121.87,00060
02371500,CONECUH RIVER AT BRANTLEY AL,31.57349458,-86.2516226,226.13,00060
02372250,PATSALIGA CREEK NEAR BRANTLEY AL,31.59627177,-86.40551809, 220.00,00060
02372422,"CONECUH RIVER BEL PT A DAM NR RIVER FALLS, AL.",31.3612799,-86.5196826, 120.80,00060
02372430,"CONECUH RIVER AT RIVER FALLS, ALABAMA",31.34822474,-86.5294047,120.08,00060
02373000,SEPULGA RIVER NEAR MCKENZIE AL,31.4537758,-86.7869139,156.41,00060
02374250,"CONECUH RIVER AT STATE HWY 41 NEAR BREWTON, AL.",31.06715578,-87.0616644, 42.77,00060
02374500,MURDER CREEK NEAR EVERGREEN AL,31.41850006,-86.9866403,178.24,00060
02374700,"MURDER CREEK AT STATE HWY 41 AT BREWTON, AL.",31.10101137,-87.06885829,51.85,00060
02374745,"BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON, AL.",31.1298991,-87.0871928,69.4,00060
02374950,BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSSROAD,31.12962115,-87.3705353,,00060
02375000,BIG ESCAMBIA CREEK AT FLOMATON AL,31.01076847,-87.2627814, 47.76,00060
02377570,"STYX RIVER NEAR ELSANOR, AL.",30.6057484,-87.5472057,,00060
02378170,"WOLF CREEK BELOW FOLEY, ALA",30.38828617,-87.6527928,16.23,00060
02378185,"INTRACOASTAL WATERWAY - GULF SHORES, AL.",30.27964626,-87.6866524,,00060
02378300,"MAGNOLIA RIVER AT US 98 NEAR FOLEY, ALABAMA",30.40658669,-87.7369323,16.27,00060
02378500,FISH RIVER NEAR SILVER HILL AL,30.54547146,-87.79860149, 20.00,00060
0237854520,"FISH RIVER NEAR MARLOW, AL",30.47466944,-87.8026444, 3,00060
02378780,"D'OLIVE CREEK NEAR BRIDGEHEAD, AL",30.65206944,-87.8896472,,00060
02397530,"COOSA RIVER AT STATE LINE, AL/GA",34.20194444,-85.45325, 549.5,00060
02398300,CHATTOOGA RIVER ABOVE GAYLESVILLE AL,34.29036965,-85.5091268, 562.11,00060
02399200,LITTLE RIVER NEAR BLUE POND AL,34.2889813,-85.6805204, 589.34,00060
02400100,TERRAPIN CREEK AT ELLISVILLE AL,34.06509836,-85.6141287, 539.07,00060
02400496,"COOSA RIVER AT GADSDEN STEAM PLANT NR GADSDEN, AL",34.01398655,-85.9702488,486.12,00060
02400680,"BIG WILLS CREEK AT STATE HWY 35 NR FORT PAYNE, AL",34.43814386,-85.7671907,785.38,00060
02401000,BIG WILLS CREEK NEAR REECE CITY,34.0981515,-86.0380286, 570.00,00060
02401330,"COOSA RIVER NR SOUTHSIDE, ALA",33.9431535,-86.02608309,513.71,00060
02401390,BIG CANOE CREEK AT ASHVILLE AL,33.8398211,-86.2627559, 529.56,00060
02401895,"OHATCHEE CREEK AT OHATCHEE, AL",33.7803769,-85.9983035,,00060
02403170,"SHOAL CREEK NEAR HEFLIN, AL",33.72522778,-85.6011972,943,00060
02403310,"CHOCCOLOCCO CREEK NEAR BOILING SPRING, ALABAMA",33.60204998,-85.7852411,600.29,00060
02404400,CHOCCOLOCCO CREEK AT JACKSON SHOAL NR LINCOLN AL,33.5484383,-86.0969163, 448.50,00060
02405500,KELLY CREEK NEAR VINCENT AL,33.4476497,-86.3869219,404.18,00060
02406500,TALLADEGA CREEK AT ALPINE AL,33.35955497,-86.2341414, 431.34,00060
02406930,"SHIRTEE CREEK NEAR ODENA, ALABAMA",33.21178164,-86.273308,,00060
02407000,COOSA RIVER AT CHILDERSBURG AL,33.29182009,-86.3638657, 382.47,00060
02407514,"YELLOWLEAF CREEK NEAR WESTOVER, AL",33.32066689,-86.4952592,,00060
02408150,"WALNUT CREEK ABOVE CLANTON, ALA",32.89027778,-86.5791667,,00060
02408540,HATCHET CREEK BELOW ROCKFORD AL,32.9168292,-86.2702519,373.50,00060
02411590,"COOSA RIVER AT HWY 14 NEAR WETUMPKA, AL",32.5505472,-86.1957944,112.13,00060
02412000,"TALLAPOOSA RIVER NEAR HEFLIN, AL",33.622885,-85.5132894,83.73,00060
02413300,LITTLE TALLAPOOSA RIVER NEAR NEWELL AL,33.43733498,-85.399118,843.26,00060
02414300,"TALLAPOOSA RIVER AT MALONE, ALABAMA",33.19706256,-85.5771772,635,00060
02414500,TALLAPOOSA RIVER AT WADLEY AL,33.11678684,-85.5607875, 599.87,00060
02414715,"TALLAPOOSA RIVER NR NEW SITE, AL.(HORSESHOE BEND)",32.97738315,-85.7396804,528.60,00060
02415000,HILLABEE CREEK NEAR HACKNEYVILLE AL,33.06539786,-85.8780186, 557.92,00060
02416360,"LITTLE SANDY CREEK AT CAMP HILL, AL",32.78545278,-85.64283889,583.23,00060
02418230,"SOUGAHATCHEE CREEK AT CO RD 188 NR LOACHAPOKA, AL.",32.62680015,-85.5880076,522.99,00060
02418760,CHEWACLA CREEK AT CHEWACLA STATE PARK NR AUBURN,32.5481918,-85.4805044,,00060
02419000,UPHAPEE CREEK NEAR TUSKEGEE AL,32.4768401,-85.69495709, 223.64,00060
02419890,TALLAPOOSA RIVER NEAR MONT.-MONT. WATER WORKS,32.43989677,-86.1955275, 129.03,00060
02420000,"ALABAMA RIVER NEAR MONTGOMERY, AL.",32.41152597,-86.40830579, 97.90,00060
02421000,CATOMA CREEK NEAR MONTGOMERY AL,32.30736239,-86.2994126,150.92,00060
02421480,"BIG SWAMP CREEK SW OF HAYNEVILLE, AL",32.16718333,-86.5917,171,00060
02422500,MULBERRY CREEK AT JONES AL,32.5829103,-86.9035991, 165.23,00060
02423110,"CAHABA RIVER NEAR TRUSSVILLE, ALA",33.66565755,-86.592209,746.01,00060
02423130,"CAHABA RIVER AT TRUSSVILLE, AL.",33.62232504,-86.599431,673.47,00060
02423160,CAHABA RIVER NEAR WHITES CHAPEL AL,33.60371416,-86.5491517,562.79,00060
02423380,CAHABA RIVER NEAR MOUNTAIN BROOK AL,33.4817724,-86.7127653,443.99,00060
02423397,"LITTLE CAHABA RIVER BELOW LEEDS, AL.",33.53454886,-86.5624847,595.63,00060
02423400,"LITTLE CAHABA RIVER NR JEFFERSON PARK, AL.",33.4998273,-86.6141521,556.57,00060
02423414,LITTLE CAHABA RIVER AT CAH BEA RD NR CAHABA HTS AL,33.43982948,-86.6988758,,00060
02423425,CAHABA RIVER NEAR CAHABA HEIGHTS AL,33.4156637,-86.7397099,405.17,00060
02423496,"CAHABA RIVER NEAR HOOVER, AL",33.3692767,-86.7841551,379.70,00060
02423500,CAHABA RIVER NEAR ACTON AL,33.36344373,-86.8130446,375.44,00060
0242354650,CAHABA VALLEY CR AT INDIAN TRAIL RD NR INDIAN SPRS,33.3449441,-86.7594183,462.37,00060
0242354750,"CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM, AL.",33.31344546,-86.8063775,428.65,00060
02423555,CAHABA RIVER NEAR HELENA AL,33.28455786,-86.8824901,357,00060
02423571,SHADES CREEK AT ELDER ST NEAR SPRINGDALE AL,33.52093809,-86.7169325,678.41,00060
02423586,"SHADES CREEK NR HOMEWOOD, ALA",33.4487185,-86.8136007,605.16,00060
02423630,SHADES CREEK NEAR GREENWOOD AL,33.3262234,-86.9497141,478.52,00060
02423647,CAHABA RIVER NEAR WEST BLOCTON AL,33.09817509,-87.054716,250.26,00060
02423800,LITTLE CAHABA RIVER NEAR BRIERFIELD AL,33.0576205,-86.95276899,313.81,00060
02424000,CAHABA RIVER AT CENTREVILLE AL,32.9451238,-87.1391623,180.81,00060
02425000,CAHABA RIVER NEAR MARION JUNCTION AL,32.4440634,-87.180279, 86.91,00060
02427020,"BOGUE CHITTO CREEK AT CO RD 115 BELOW ORRVILLE, AL",32.27712327,-87.2813932,83.33,00060
02427250,"PINE BARREN CREEK NEAR SNOW HILL, AL.",31.99629727,-87.0683313, 126.58,00060
