USGSID,COMID
01154950,9331072
14330000,23923628
01672500,8507536
06800500,24750511
01127000,6149075
01394500,6261526
14187000,23785723
06804000,17398607
06888990,3646792
09123450,3255135
07358284,15238142
07191000,21770039
254543080491101,83114
08447020,3158167
03209500,887151
08177300,1639209
07326000,682561
07195500,398302
03289300,1825236
357591500,19621338
07343840,1121321
441520088045002,12006723
08073600,1439357
09022000,1239663
02102908,8849951
12031000,23856673
07222500,20039884
02489500,15708443
03414078,3576298
06040000,3056360
09026500,1239619
09295000,11982097
12202300,24534748
11289850,2823570
06926510,5987239
05242300,4858779
13018750,24432645
10262500,22656105
02266205,21477644
11149400,8212787
02336340,2047893
06139500,12319297
03568400,19697495
12101100,23981225
12148500,23970755
06935550,6010272
01120790,6162939
02016000,8523325
03270000,3986460
06026420,4228060
40276505,1813213
03421000,18432749
04292750,4587100
07346045,1017865
05427927,13294176
03213000,435866
09403013,20719586
09413200,4914292
09171100,18382337
03217500,5211705
06471200,11446137
02175000,9614545
09038500,1232803
07103990,1529539
07238000,390116
11062450,24843814
02171500,9661944
08020700,5278780
06857100,5927182
01139000,4573927
01668000,8476948
07239450,391180
06711570,189855
04274000,9528089
02217615,1047261
06869950,18869658
07344493,1009020
05112000,7088107
10301500,10736789
11173575,2806865
05116500,14186076
11481500,8319319
13183000,24540979
08190000,7872253
08159200,5790218
362227119531401,17153694
06408700,17532989
06127500,12603855
08194500,10631613
07341500,19947688
02157510,9700081
02146409,9731486
351813119150601,17172888
02108000,10525935
06023000,239166
12056500,24285534
07245000,512987
02188600,11736643
06294000,12770015
01161280,6778923
01615000,5895964
03404900,10190276
14357500,947100124
03318800,11622056
04209000,28123621
06867000,7331192
01611500,8431736
14353000,23930882
21623957,9865562
01196620,6177114
07289350,19222549
06863500,7318204
06719845,2885002
07344450,1136258
06914950,2993494
05489000,4994047
12101470,23980375
01104430,5866423
01464899,4482903
02390140,6496726
14226500,23744100
11126400,17608033
06912500,10116002
10309000,8922339
06332770,21539336
02310740,16928252
01427195,2617248
14091500,23700105
02142914,9755434
01031500,1722317
06610732,17217574
01664000,8465429
02142900,9755474
12026150,23850753
10321940,10782344
01581752,11688352
01131500,4594661
06893750,4393225
08252500,17863228
03284552,1827564
07234000,13853161
04087050,12163800
12027500,23850295
09419665,22069888
07083000,916821
07230500,482410
05424157,13292364
02307200,16916766
01589440,11688890
01476480,4495704
07334000,707416
08403500,22457393
08165300,3585678
01155910,10102614
214269560,9756570
02175148,20150981
06607500,14626246
07183000,20897397
13345000,23460123
08407000,22460369
251154080471900,89628
01048000,3322258
06936475,6010004
02292780,10243375
71948095,398350
02288900,16769442
02193340,6289497
03116077,19387554
06708800,191767
01619000,5891210
02157470,9698267
02312180,16949536
06855850,5923734
04201500,15594647
01467200,4495952
08050350,1274826
02392780,6497814
05067500,6696814
02104000,8847219
05357335,13344864
02273230,16726432
02100500,8870072
09149500,9767880
05355250,1875139
03262000,3984508
08155200,5781265
01109060,6129565
08198500,10646003
01367715,6206816
01472157,4782153
06351200,16214760
02481000,18070104
08032700,1078299
02163500,9871292
03454500,22161878
07259950,7805733
210398250,8846621
07250974,7753312
03301000,10302639
02350600,6458195
07050700,7607997
02167000,9869744
03450000,22161670
08393610,20773700
13068300,24478903
12039500,23844703
08419000,943070051
02413210,15811451
10336780,8944453
07363400,21926169
03201000,19314160
10312150,13070812
05431016,13295584
03550000,19674799
11493500,24081559
05104500,7086793
